# DIRTLPAwb+ edited interaction matrix
parasite	host	weight
Euphrasia_vigursii	Erica_tetralix	0
Euphrasia_vigursii	Danthonia_decumbens	2.92
Euphrasia_vigursii	Agrostis_capillaris	12.8
Euphrasia_vigursii	Alchemilla_alpina	0
Euphrasia_vigursii	Aira_caryophyllaea	0
Euphrasia_vigursii	Galium_saxatile	0
Euphrasia_vigursii	Pilosella_officinarum	0
Euphrasia_vigursii	Digitalis_purpurea	0
Euphrasia_vigursii	Calluna_vulgaris	0.36
Euphrasia_vigursii	Serratula_tinctoria	0
Euphrasia_vigursii	Daucus_carota	8.48
Euphrasia_vigursii	Viola_riviniana	11.76
Euphrasia_vigursii	Centaurium_erythraea	0
Euphrasia_vigursii	Carex_flacca	12.8
Euphrasia_vigursii	Achillea_millefolium	0
Euphrasia_vigursii	Ulex_europaeus	0
Euphrasia_vigursii	Lotus_corniculatus	11.96
Euphrasia_vigursii	Dactylis_glomerata	8.92
Euphrasia_vigursii	Solidago_virguraea	0.6
Euphrasia_vigursii	Succisa_pratensis	3.16
Euphrasia_vigursii	Pedicularis_sylvatica	10.6
Euphrasia_vigursii	Plantago_maritima	5.36
Euphrasia_vigursii	Thymus_polytrichus	1.76
Euphrasia_vigursii	Carex_caryophyllaea	0.4
Euphrasia_vigursii	Hypericum_pulchrum	2.92
Euphrasia_vigursii	Polygala_vulgaris	4.8
Euphrasia_vigursii	Erica_cinerea	12.08
Euphrasia_vigursii	Scilla_verna	12.92
Euphrasia_vigursii	Serrtula_tinctoria	15
Euphrasia_vigursii	Leontodon_saxatilis	2
